Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F2_payGrade,Chrome 113.0.0.0,,,2023-05-30 13:37:52,2023-05-30 13:43:36,5m - 43.772s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F2_Pay Grades/Add New Pay Grade/PG01_TC01_AddGradeSuccess (P),Chrome 113.0.0.0,,,2023-05-30 13:37:52,2023-05-30 13:38:21,28.382s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 13:37:53,2023-05-30 13:38:08,15.363s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/span_Admin""))",Chrome 113.0.0.0,,,2023-05-30 13:38:08,2023-05-30 13:38:09,1.236s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 13:38:09,2023-05-30 13:38:10,0.519s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/span_Job""))",Chrome 113.0.0.0,,,2023-05-30 13:38:10,2023-05-30 13:38:11,1.399s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/a_Pay Grades""))",Chrome 113.0.0.0,,,2023-05-30 13:38:11,2023-05-30 13:38:12,0.982s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/button_AddPayGrade""))",Chrome 113.0.0.0,,,2023-05-30 13:38:12,2023-05-30 13:38:14,1.888s,PASSED
"setText(findTestObject(""PROJECT WEB/Pay Grade/input_Name_Pay Grade""), ""DG 41"")",Chrome 113.0.0.0,,,2023-05-30 13:38:14,2023-05-30 13:38:17,3.188s,PASSED
"click(findTestObject(""PROJECT WEB/Pay Grade/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 13:38:17,2023-05-30 13:38:18,0.375s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/p_Successfully Updated""))",Chrome 113.0.0.0,,,2023-05-30 13:38:18,2023-05-30 13:38:21,2.894s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F2_Pay Grades/Add New Pay Grade/PG01_TC02_Add Exist Grade (N),Chrome 113.0.0.0,,,2023-05-30 13:38:21,2023-05-30 13:38:44,23.190s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-30 13:38:21,2023-05-30 13:38:35,13.822s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/span_Admin""))",Chrome 113.0.0.0,,,2023-05-30 13:38:35,2023-05-30 13:38:36,1.246s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-30 13:38:36,2023-05-30 13:38:37,0.509s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/span_Job""))",Chrome 113.0.0.0,,,2023-05-30 13:38:37,2023-05-30 13:38:38,1.427s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/a_Pay Grades""))",Chrome 113.0.0.0,,,2023-05-30 13:38:38,2023-05-30 13:38:39,0.922s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/button_AddPayGrade""))",Chrome 113.0.0.0,,,2023-05-30 13:38:39,2023-05-30 13:38:40,0.942s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/input_Name_Pay Grade""), ""DG 41"")",Chrome 113.0.0.0,,,2023-05-30 13:38:40,2023-05-30 13:38:43,3.029s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Pay Grade/button_Save""))",Chrome 113.0.0.0,,,2023-05-30 13:38:43,2023-05-30 13:38:43,0.540s,PASSED
"verifyElementPresent(findTestObject(""PROJECT WEB/Pay Grade/span_Already exists""), 0)",Chrome 113.0.0.0,,,2023-05-30 13:38:43,2023-05-30 13:38:44,0.382s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F2_Pay Grades/Add Currency/PG02_TC01_Add Currency Success (P),Chrome 113.0.0.0,,,2023-05-30 13:38:44,2023-05-30 13:39:31,46.753s,PASSED
