Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F3_JobTitles,Chrome 113.0.0.0,,,2023-05-31 00:34:53,2023-05-31 00:40:25,5m - 31.362s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F3_Job Titles/Add Job Titles/JT01_TC01_Add Job Titles Success_DDT (P),Chrome 113.0.0.0,,,2023-05-31 00:34:54,2023-05-31 00:36:26,1m - 31.805s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-31 00:34:55,2023-05-31 00:35:24,29.247s,PASSED
"click(findTestObject(""PROJECT WEB/Job Titles/span_Admin_JT""))",Chrome 113.0.0.0,,,2023-05-31 00:35:24,2023-05-31 00:35:26,1.807s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-31 00:35:26,2023-05-31 00:35:27,0.555s,PASSED
"click(findTestObject(""PROJECT WEB/Job Titles/span_Job_JT""))",Chrome 113.0.0.0,,,2023-05-31 00:35:27,2023-05-31 00:35:28,1.225s,PASSED
"click(findTestObject(""PROJECT WEB/Job Titles/a_Job Titles""))",Chrome 113.0.0.0,,,2023-05-31 00:35:28,2023-05-31 00:35:29,1.174s,PASSED
"click(findTestObject(""PROJECT WEB/Job Titles/button_Add_JT""))",Chrome 113.0.0.0,,,2023-05-31 00:35:29,2023-05-31 00:35:31,2.418s,PASSED
"setText(findTestObject(""PROJECT WEB/Job Titles/input_Job Title""), jobtitles)",Chrome 113.0.0.0,,,2023-05-31 00:35:31,2023-05-31 00:35:35,3.356s,PASSED
"setText(findTestObject(""PROJECT WEB/Job Titles/textarea_Job Description_JT""), description)",Chrome 113.0.0.0,,,2023-05-31 00:35:35,2023-05-31 00:35:35,0.743s,PASSED
"uploadFile(findTestObject(""PROJECT WEB/Job Titles/div_InputFile""), uploadfile)",Chrome 113.0.0.0,,,2023-05-31 00:35:35,2023-05-31 00:35:36,0.378s,PASSED
"setText(findTestObject(""PROJECT WEB/Job Titles/textarea_For Note_JT""), textnote)",Chrome 113.0.0.0,,,2023-05-31 00:35:36,2023-05-31 00:35:37,0.896s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Titles/button_Save""))",Chrome 113.0.0.0,,,2023-05-31 00:35:37,2023-05-31 00:35:37,0.392s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Job Titles/p_Successfully Saved""))",Chrome 113.0.0.0,,,2023-05-31 00:35:37,2023-05-31 00:36:26,48.804s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F3_Job Titles/Add Job Titles/JT01_TC01_Add Job Titles Success_DDT (P),Chrome 113.0.0.0,,,2023-05-31 00:36:26,2023-05-31 00:37:09,42.830s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-31 00:36:26,2023-05-31 00:36:50,24.024s,PASSED
