Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F6_EduQualification,Chrome 113.0.0.0,,,2023-05-31 18:38:55,2023-05-31 18:41:34,2m - 38.734s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F6_Education Qualification/Add Education Level/EQ1_TC1_Add Education Level Success (P),Chrome 113.0.0.0,,,2023-05-31 18:38:55,2023-05-31 18:39:21,25.838s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-31 18:38:56,2023-05-31 18:39:11,15.453s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Admin""))",Chrome 113.0.0.0,,,2023-05-31 18:39:11,2023-05-31 18:39:13,1.408s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-31 18:39:13,2023-05-31 18:39:13,0.570s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/span_Qualifications""))",Chrome 113.0.0.0,,,2023-05-31 18:39:13,2023-05-31 18:39:14,0.613s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Education""))",Chrome 113.0.0.0,,,2023-05-31 18:39:14,2023-05-31 18:39:15,1.568s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/button_Add""))",Chrome 113.0.0.0,,,2023-05-31 18:39:15,2023-05-31 18:39:17,1.782s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/input_Level_oxd-input oxd-input--focus""), eduLevel)",Chrome 113.0.0.0,,,2023-05-31 18:39:17,2023-05-31 18:39:20,2.536s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/button_Save""))",Chrome 113.0.0.0,,,2023-05-31 18:39:20,2023-05-31 18:39:20,0.404s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/div_SuccessSuccessfully Saved""))",Chrome 113.0.0.0,,,2023-05-31 18:39:20,2023-05-31 18:39:21,0.920s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F6_Education Qualification/Add Education Level/EQ1_TC2_Same Skill Name (N),Chrome 113.0.0.0,,,2023-05-31 18:39:21,2023-05-31 18:39:44,23.329s,PASSED
"callTestCase(findTestCase(""PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P)""), [""username"":""Admin"", ""password"":""hUKwJTbofgPU9eVlw/CnDQ==""], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-31 18:39:21,2023-05-31 18:39:35,14.002s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Admin""))",Chrome 113.0.0.0,,,2023-05-31 18:39:35,2023-05-31 18:39:37,1.391s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 113.0.0.0,,,2023-05-31 18:39:37,2023-05-31 18:39:37,0.532s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/span_Qualifications""))",Chrome 113.0.0.0,,,2023-05-31 18:39:37,2023-05-31 18:39:38,0.805s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/a_Education""))",Chrome 113.0.0.0,,,2023-05-31 18:39:38,2023-05-31 18:39:40,1.522s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/button_Add""))",Chrome 113.0.0.0,,,2023-05-31 18:39:40,2023-05-31 18:39:42,2.527s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Education Level/Page_OrangeHRM/input_Level_oxd-input oxd-input--focus""), eduLevel)",Chrome 113.0.0.0,,,2023-05-31 18:39:42,2023-05-31 18:39:44,1.701s,PASSED
"verifyElementPresent(findTestObject(""PROJECT WEB/Education Level/Page_OrangeHRM/span_Already exists""), 0)",Chrome 113.0.0.0,,,2023-05-31 18:39:44,2023-05-31 18:39:44,0.448s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/F6_Education Qualification/Add Education Level/EQ1_TC3_Not Enter Education Level (N),Chrome 113.0.0.0,,,2023-05-31 18:40:16,2023-05-31 18:41:34,1m - 17.358s,PASSED
